name,type,fee,desc,hours,city
"The Great New York Wildlife Sanctuary",Nature,19.00,"Lush green spaces and spectacular panoramic views make this one of New York's most cherished outdoor destinations.","10:00 - 16:00","New York"
"Las Vegas Castle Ruins",Historic,44.00,"Centuries of history are embedded in the walls of this famous historical site located right in Las Vegas.","8:00 - 20:00","Las Vegas"
"Oxford River Walk",Nature,34.00,"A perfectly preserved natural reserve in the heart of Oxford. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 17:00",Oxford
"The Great Bali National Park",Nature,29.00,"Lush green spaces and spectacular panoramic views make this one of Bali's most cherished outdoor destinations.","10:00 - 18:00",Bali
"The Great Rome Gallery",Museum,34.00,"Immerse yourself in Rome's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 18:00",Rome
"New York Gallery",Museum,42.00,"Discover the fascinating origins of New York through beautifully curated galleries and expert-led tours.","8:00 - 20:00","New York"
"Toulouse National Park",Nature,6.00,"Experience the breathtaking natural beauty of Toulouse at this serene location, offering scenic trails and native wildlife.","9:00 - 20:00",Toulouse
"Calgary Square",Landmark,17.00,"A masterpiece of engineering and art. No visit to Calgary is complete without seeing this majestic structure.","9:00 - 20:00",Calgary
"The Great Hamburg Hillside Park",Nature,23.00,"Experience the breathtaking natural beauty of Hamburg at this serene location, offering scenic trails and native wildlife.","8:00 - 18:00",Hamburg
"Nara Gallery",Museum,17.00,"Immerse yourself in Nara's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 19:00",Nara
"New York River Walk",Nature,29.00,"Experience the breathtaking natural beauty of New York at this serene location, offering scenic trails and native wildlife.","10:00 - 19:00","New York"
"The Great Kyoto National Park",Nature,0.00,"Experience the breathtaking natural beauty of Kyoto at this serene location, offering scenic trails and native wildlife.","8:00 - 19:00",Kyoto
"Perth National Park",Nature,20.00,"Lush green spaces and spectacular panoramic views make this one of Perth's most cherished outdoor destinations.","9:00 - 17:00",Perth
"The Great Paris National Park",Nature,36.00,"Experience the breathtaking natural beauty of Paris at this serene location, offering scenic trails and native wildlife.","9:00 - 20:00",Paris
"Venice Natural History Museum",Museum,44.00,"Discover the fascinating origins of Venice through beautifully curated galleries and expert-led tours.","8:00 - 20:00",Venice
"Paris Museum of Art",Museum,0.00,"Discover the fascinating origins of Paris through beautifully curated galleries and expert-led tours.","8:00 - 17:00",Paris
"The Great Florence Ancient Fort",Historic,27.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Florence.","9:00 - 18:00",Florence
"The Great Hamburg River Walk",Nature,16.00,"A perfectly preserved natural reserve in the heart of Hamburg. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 16:00",Hamburg
"Fukuoka Royal Palace",Historic,18.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Fukuoka.","9:00 - 20:00",Fukuoka
"The Great Las Vegas Cathedral",Historic,17.00,"Centuries of history are embedded in the walls of this famous historical site located right in Las Vegas.","9:00 - 19:00","Las Vegas"
"Bath Nature Reserve",Nature,40.00,"A perfectly preserved natural reserve in the heart of Bath. Ideal for hiking, photography, and escaping the urban bustle.","8:00 - 16:00",Bath
"The Great Port Elizabeth Monument",Landmark,6.00,"An iconic symbol of Port Elizabeth's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 18:00","Port Elizabeth"
"The Great Sydney Natural History Museum",Museum,0.00,"Immerse yourself in Sydney's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 20:00",Sydney
"The Great Dresden Monument",Landmark,45.00,"An iconic symbol of Dresden's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 20:00",Dresden
"The Great East London Aviation Museum",Museum,28.00,"A world-class cultural institution in East London housing thousands of priceless historical and artistic treasures.","9:00 - 18:00","East London"
"Vancouver Square",Landmark,33.00,"A masterpiece of engineering and art. No visit to Vancouver is complete without seeing this majestic structure.","10:00 - 17:00",Vancouver
"The Great Pretoria Science Exhibit",Museum,13.00,"Discover the fascinating origins of Pretoria through beautifully curated galleries and expert-led tours.","8:00 - 20:00",Pretoria
"The Great Ibiza Cultural Centre",Museum,0.00,"A world-class cultural institution in Ibiza housing thousands of priceless historical and artistic treasures.","9:00 - 18:00",Ibiza
"The Great New York Gallery",Museum,5.00,"Immerse yourself in New York's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 20:00","New York"
"The Great Kyoto Royal Palace",Historic,15.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Kyoto.","10:00 - 20:00",Kyoto
"The Great Okinawa Tower",Landmark,35.00,"An iconic symbol of Okinawa's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 16:00",Okinawa
"The Great Bilbao Square",Landmark,15.00,"One of the most photographed monuments in Bilbao, featuring stunning design and cultural significance.","9:00 - 19:00",Bilbao
"The Great Pisa Science Exhibit",Museum,0.00,"A world-class cultural institution in Pisa housing thousands of priceless historical and artistic treasures.","9:00 - 16:00",Pisa
"The Great Dubai Science Exhibit",Museum,0.00,"Discover the fascinating origins of Dubai through beautifully curated galleries and expert-led tours.","9:00 - 18:00",Dubai
"Cologne Aviation Museum",Museum,13.00,"Immerse yourself in Cologne's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 19:00",Cologne
"The Great Vancouver Gallery",Museum,16.00,"Discover the fascinating origins of Vancouver through beautifully curated galleries and expert-led tours.","9:00 - 20:00",Vancouver
"Venice Monument",Landmark,0.00,"A masterpiece of engineering and art. No visit to Venice is complete without seeing this majestic structure.","9:00 - 17:00",Venice
"Dresden Castle Ruins",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Dresden.","10:00 - 17:00",Dresden
"Toulouse River Walk",Nature,37.00,"A perfectly preserved natural reserve in the heart of Toulouse. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 19:00",Toulouse
"The Great East London Botanical Gardens",Nature,30.00,"Experience the breathtaking natural beauty of East London at this serene location, offering scenic trails and native wildlife.","8:00 - 19:00","East London"
"The Great Kimberley Royal Palace",Historic,9.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Kimberley.","8:00 - 20:00",Kimberley
"The Great Darwin Cathedral",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Darwin.","8:00 - 20:00",Darwin
"Adelaide Old Town Hall",Historic,41.00,"Centuries of history are embedded in the walls of this famous historical site located right in Adelaide.","8:00 - 20:00",Adelaide
"Miami Botanical Gardens",Nature,22.00,"Experience the breathtaking natural beauty of Miami at this serene location, offering scenic trails and native wildlife.","8:00 - 19:00",Miami
"Cape Town Square",Landmark,44.00,"A masterpiece of engineering and art. No visit to Cape Town is complete without seeing this majestic structure.","9:00 - 17:00","Cape Town"
"The Great Seville Natural History Museum",Museum,33.00,"Immerse yourself in Seville's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Seville
"Fukuoka Botanical Gardens",Nature,0.00,"A perfectly preserved natural reserve in the heart of Fukuoka. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 19:00",Fukuoka
"The Great Sapporo Central Plaza",Landmark,0.00,"A masterpiece of engineering and art. No visit to Sapporo is complete without seeing this majestic structure.","8:00 - 19:00",Sapporo
"The Great Hiroshima Nature Reserve",Nature,19.00,"A perfectly preserved natural reserve in the heart of Hiroshima. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 20:00",Hiroshima
"The Great New York Monument",Landmark,0.00,"A masterpiece of engineering and art. No visit to New York is complete without seeing this majestic structure.","9:00 - 20:00","New York"
"Stellenbosch Castle Ruins",Historic,32.00,"Step back in time and walk the ancient grounds where Stellenbosch's most defining historical moments took place.","9:00 - 17:00",Stellenbosch
"The Great Madrid Royal Palace",Historic,15.00,"Step back in time and walk the ancient grounds where Madrid's most defining historical moments took place.","9:00 - 16:00",Madrid
"The Great Bath Cathedral",Historic,41.00,"Centuries of history are embedded in the walls of this famous historical site located right in Bath.","10:00 - 18:00",Bath
"Paris Observatory",Landmark,0.00,"An iconic symbol of Paris's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 17:00",Paris
"The Great Valencia Hillside Park",Nature,0.00,"A perfectly preserved natural reserve in the heart of Valencia. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 18:00",Valencia
"Oxford Wildlife Sanctuary",Nature,0.00,"Experience the breathtaking natural beauty of Oxford at this serene location, offering scenic trails and native wildlife.","10:00 - 18:00",Oxford
"East London Wildlife Sanctuary",Nature,14.00,"A perfectly preserved natural reserve in the heart of East London. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 19:00","East London"
"Montreal Cultural Centre",Museum,34.00,"Discover the fascinating origins of Montreal through beautifully curated galleries and expert-led tours.","8:00 - 18:00",Montreal
"East London Heritage House",Historic,43.00,"Step back in time and walk the ancient grounds where East London's most defining historical moments took place.","10:00 - 16:00","East London"
"Halifax Bridge",Landmark,5.00,"One of the most photographed monuments in Halifax, featuring stunning design and cultural significance.","9:00 - 17:00",Halifax
"The Great Seville Wildlife Sanctuary",Nature,6.00,"Lush green spaces and spectacular panoramic views make this one of Seville's most cherished outdoor destinations.","9:00 - 20:00",Seville
"Rome Square",Landmark,0.00,"An iconic symbol of Rome's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 16:00",Rome
"The Great Pretoria National Park",Nature,0.00,"Experience the breathtaking natural beauty of Pretoria at this serene location, offering scenic trails and native wildlife.","8:00 - 20:00",Pretoria
"Cape Town Old Town Hall",Historic,0.00,"Step back in time and walk the ancient grounds where Cape Town's most defining historical moments took place.","10:00 - 20:00","Cape Town"
"Canberra Wildlife Sanctuary",Nature,11.00,"Experience the breathtaking natural beauty of Canberra at this serene location, offering scenic trails and native wildlife.","9:00 - 17:00",Canberra
"The Great Chicago River Walk",Nature,7.00,"A perfectly preserved natural reserve in the heart of Chicago. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 18:00",Chicago
"Nuremberg Old Town Hall",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Nuremberg.","9:00 - 16:00",Nuremberg
"The Great Perth Cultural Centre",Museum,16.00,"Discover the fascinating origins of Perth through beautifully curated galleries and expert-led tours.","10:00 - 19:00",Perth
"Dresden Natural History Museum",Museum,17.00,"Discover the fascinating origins of Dresden through beautifully curated galleries and expert-led tours.","10:00 - 16:00",Dresden
"Frankfurt Aviation Museum",Museum,26.00,"Immerse yourself in Frankfurt's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 16:00",Frankfurt
"The Great Perth Museum of Art",Museum,41.00,"A world-class cultural institution in Perth housing thousands of priceless historical and artistic treasures.","9:00 - 16:00",Perth
"The Great Glasgow Nature Reserve",Nature,17.00,"A perfectly preserved natural reserve in the heart of Glasgow. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 20:00",Glasgow
"The Great Denver Monument",Landmark,45.00,"A masterpiece of engineering and art. No visit to Denver is complete without seeing this majestic structure.","9:00 - 17:00",Denver
"The Great Adelaide Central Plaza",Landmark,44.00,"An iconic symbol of Adelaide's architectural heritage, standing tall as a testament to the region's rich history.","10:00 - 20:00",Adelaide
"The Great Bali Gallery",Museum,0.00,"Immerse yourself in Bali's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 20:00",Bali
"Genoa Heritage House",Historic,0.00,"Centuries of history are embedded in the walls of this famous historical site located right in Genoa.","8:00 - 17:00",Genoa
"Whistler Observatory",Landmark,0.00,"One of the most photographed monuments in Whistler, featuring stunning design and cultural significance.","8:00 - 17:00",Whistler
"Stellenbosch Royal Palace",Historic,28.00,"Centuries of history are embedded in the walls of this famous historical site located right in Stellenbosch.","10:00 - 17:00",Stellenbosch
"The Great Venice Cultural Centre",Museum,39.00,"Discover the fascinating origins of Venice through beautifully curated galleries and expert-led tours.","10:00 - 19:00",Venice
"The Great Bali Central Plaza",Landmark,12.00,"One of the most photographed monuments in Bali, featuring stunning design and cultural significance.","10:00 - 17:00",Bali
"Berlin Tower",Landmark,8.00,"An iconic symbol of Berlin's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 19:00",Berlin
"Edmonton Cathedral",Historic,6.00,"Centuries of history are embedded in the walls of this famous historical site located right in Edmonton.","10:00 - 20:00",Edmonton
"The Great New York National Park",Nature,40.00,"Experience the breathtaking natural beauty of New York at this serene location, offering scenic trails and native wildlife.","8:00 - 18:00","New York"
"The Great Paris Castle Ruins",Historic,21.00,"Step back in time and walk the ancient grounds where Paris's most defining historical moments took place.","8:00 - 20:00",Paris
"Manchester Museum of Art",Museum,0.00,"Immerse yourself in Manchester's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 16:00",Manchester
"The Great Knysna Bridge",Landmark,40.00,"A masterpiece of engineering and art. No visit to Knysna is complete without seeing this majestic structure.","10:00 - 16:00",Knysna
"Stellenbosch Castle Ruins",Historic,0.00,"Step back in time and walk the ancient grounds where Stellenbosch's most defining historical moments took place.","8:00 - 18:00",Stellenbosch
"The Great Mallorca Science Exhibit",Museum,0.00,"Discover the fascinating origins of Mallorca through beautifully curated galleries and expert-led tours.","8:00 - 20:00",Mallorca
"Sapporo Aviation Museum",Museum,34.00,"Immerse yourself in Sapporo's history with interactive exhibits, rare artifacts, and captivating storytelling.","10:00 - 18:00",Sapporo
"The Great Ibiza River Walk",Nature,10.00,"Experience the breathtaking natural beauty of Ibiza at this serene location, offering scenic trails and native wildlife.","9:00 - 16:00",Ibiza
"Adelaide Tower",Landmark,25.00,"One of the most photographed monuments in Adelaide, featuring stunning design and cultural significance.","10:00 - 18:00",Adelaide
"Lille Botanical Gardens",Nature,42.00,"Lush green spaces and spectacular panoramic views make this one of Lille's most cherished outdoor destinations.","9:00 - 19:00",Lille
"Stellenbosch Royal Palace",Historic,0.00,"Step back in time and walk the ancient grounds where Stellenbosch's most defining historical moments took place.","10:00 - 17:00",Stellenbosch
"The Great Birmingham Cultural Centre",Museum,32.00,"Immerse yourself in Birmingham's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 18:00",Birmingham
"The Great Nuremberg Science Exhibit",Museum,32.00,"Discover the fascinating origins of Nuremberg through beautifully curated galleries and expert-led tours.","10:00 - 16:00",Nuremberg
"Halifax Cultural Centre",Museum,45.00,"Discover the fascinating origins of Halifax through beautifully curated galleries and expert-led tours.","10:00 - 16:00",Halifax
"Tokyo Observatory",Landmark,22.00,"A masterpiece of engineering and art. No visit to Tokyo is complete without seeing this majestic structure.","8:00 - 20:00",Tokyo
"London Cathedral",Historic,35.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of London.","8:00 - 20:00",London
"Granada Cultural Centre",Museum,42.00,"Immerse yourself in Granada's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Granada
"Canberra River Walk",Nature,27.00,"A perfectly preserved natural reserve in the heart of Canberra. Ideal for hiking, photography, and escaping the urban bustle.","10:00 - 18:00",Canberra
"The Great Tokyo Royal Palace",Historic,33.00,"Step back in time and walk the ancient grounds where Tokyo's most defining historical moments took place.","9:00 - 16:00",Tokyo
"The Great Durban Hillside Park",Nature,28.00,"Lush green spaces and spectacular panoramic views make this one of Durban's most cherished outdoor destinations.","8:00 - 20:00",Durban
"The Great Glasgow Aviation Museum",Museum,0.00,"Discover the fascinating origins of Glasgow through beautifully curated galleries and expert-led tours.","9:00 - 17:00",Glasgow
"Okinawa Tower",Landmark,17.00,"One of the most photographed monuments in Okinawa, featuring stunning design and cultural significance.","10:00 - 18:00",Okinawa
"Chicago Gallery",Museum,23.00,"Discover the fascinating origins of Chicago through beautifully curated galleries and expert-led tours.","8:00 - 18:00",Chicago
"Turin Natural History Museum",Museum,30.00,"Immerse yourself in Turin's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 16:00",Turin
"Melbourne Central Plaza",Landmark,0.00,"One of the most photographed monuments in Melbourne, featuring stunning design and cultural significance.","9:00 - 17:00",Melbourne
"The Great Okinawa Wildlife Sanctuary",Nature,44.00,"Lush green spaces and spectacular panoramic views make this one of Okinawa's most cherished outdoor destinations.","10:00 - 20:00",Okinawa
"The Great Paris National Park",Nature,0.00,"Experience the breathtaking natural beauty of Paris at this serene location, offering scenic trails and native wildlife.","10:00 - 17:00",Paris
"The Great Sapporo Museum of Art",Museum,0.00,"Immerse yourself in Sapporo's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 18:00",Sapporo
"The Great Dusseldorf Old Town Hall",Historic,25.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Dusseldorf.","8:00 - 16:00",Dusseldorf
"Florence Square",Landmark,5.00,"An iconic symbol of Florence's architectural heritage, standing tall as a testament to the region's rich history.","8:00 - 18:00",Florence
"The Great Victoria Museum of Art",Museum,38.00,"Immerse yourself in Victoria's history with interactive exhibits, rare artifacts, and captivating storytelling.","9:00 - 19:00",Victoria
"Bilbao Nature Reserve",Nature,23.00,"Experience the breathtaking natural beauty of Bilbao at this serene location, offering scenic trails and native wildlife.","9:00 - 17:00",Bilbao
"Lille Observatory",Landmark,14.00,"An iconic symbol of Lille's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 17:00",Lille
"The Great Cologne Bridge",Landmark,8.00,"A masterpiece of engineering and art. No visit to Cologne is complete without seeing this majestic structure.","9:00 - 17:00",Cologne
"The Great Genoa Bridge",Landmark,31.00,"One of the most photographed monuments in Genoa, featuring stunning design and cultural significance.","8:00 - 17:00",Genoa
"The Great Kyoto Old Town Hall",Historic,14.00,"Centuries of history are embedded in the walls of this famous historical site located right in Kyoto.","9:00 - 20:00",Kyoto
"The Great Stellenbosch Natural History Museum",Museum,0.00,"A world-class cultural institution in Stellenbosch housing thousands of priceless historical and artistic treasures.","9:00 - 18:00",Stellenbosch
"Oxford Castle Ruins",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Oxford.","9:00 - 20:00",Oxford
"Chicago Square",Landmark,25.00,"A masterpiece of engineering and art. No visit to Chicago is complete without seeing this majestic structure.","8:00 - 16:00",Chicago
"The Great Brisbane Nature Reserve",Nature,31.00,"Experience the breathtaking natural beauty of Brisbane at this serene location, offering scenic trails and native wildlife.","10:00 - 18:00",Brisbane
"Berlin Square",Landmark,16.00,"A masterpiece of engineering and art. No visit to Berlin is complete without seeing this majestic structure.","8:00 - 16:00",Berlin
"The Great Birmingham Tower",Landmark,18.00,"An iconic symbol of Birmingham's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 20:00",Birmingham
"Nantes Square",Landmark,32.00,"An iconic symbol of Nantes's architectural heritage, standing tall as a testament to the region's rich history.","9:00 - 20:00",Nantes
"Montpellier Heritage House",Historic,28.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Montpellier.","8:00 - 19:00",Montpellier
"Manchester Wildlife Sanctuary",Nature,39.00,"Experience the breathtaking natural beauty of Manchester at this serene location, offering scenic trails and native wildlife.","9:00 - 19:00",Manchester
"The Great Cape Town Tower",Landmark,38.00,"One of the most photographed monuments in Cape Town, featuring stunning design and cultural significance.","10:00 - 18:00","Cape Town"
"Vancouver National Park",Nature,35.00,"A perfectly preserved natural reserve in the heart of Vancouver. Ideal for hiking, photography, and escaping the urban bustle.","9:00 - 17:00",Vancouver
"New York Bridge",Landmark,0.00,"One of the most photographed monuments in New York, featuring stunning design and cultural significance.","9:00 - 19:00","New York"
"The Great Calgary Square",Landmark,31.00,"A masterpiece of engineering and art. No visit to Calgary is complete without seeing this majestic structure.","9:00 - 20:00",Calgary
"Paris Museum of Art",Museum,0.00,"Immerse yourself in Paris's history with interactive exhibits, rare artifacts, and captivating storytelling.","8:00 - 20:00",Paris
"Darwin Old Town Hall",Historic,25.00,"Step back in time and walk the ancient grounds where Darwin's most defining historical moments took place.","10:00 - 19:00",Darwin
"The Great Johannesburg Cathedral",Historic,19.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Johannesburg.","9:00 - 18:00",Johannesburg
"Victoria Royal Palace",Historic,0.00,"A beautifully preserved historical site that offers a hauntingly realistic glimpse into the past of Victoria.","10:00 - 18:00",Victoria
"The Great Dresden National Park",Nature,6.00,"Lush green spaces and spectacular panoramic views make this one of Dresden's most cherished outdoor destinations.","8:00 - 18:00",Dresden
"The Great Port Elizabeth Heritage House",Historic,44.00,"Centuries of history are embedded in the walls of this famous historical site located right in Port Elizabeth.","9:00 - 18:00","Port Elizabeth"
"The Great Lyon Natural History Museum",Museum,16.00,"Discover the fascinating origins of Lyon through beautifully curated galleries and expert-led tours.","8:00 - 20:00",Lyon
"The Great Edinburgh Tower",Landmark,38.00,"One of the most photographed monuments in Edinburgh, featuring stunning design and cultural significance.","8:00 - 16:00",Edinburgh
"Okinawa Wildlife Sanctuary",Nature,0.00,"Lush green spaces and spectacular panoramic views make this one of Okinawa's most cherished outdoor destinations.","9:00 - 20:00",Okinawa
"Madrid Observatory",Landmark,11.00,"A masterpiece of engineering and art. No visit to Madrid is complete without seeing this majestic structure.","10:00 - 18:00",Madrid
